id,title,price_pc,link,mobile_link,image_link,category_name1,category_name2,category_name3,naver_category,brand,event_words,coupon,shipping,seach_tag,Unnamed: 15
AVP4569, 다낭/호이안 4/5/6일 5성객실업그레이드 노옵션 남호이안빈원더스3대시장자유시간,449000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://dimgcdn.ybtour.co.kr/TN/55/55247a16f27ef7bb7cd799952a0fcd8c.tn.630x410.jpg,해외패키지,동남아,다낭/호이안/후에,50007257,노랑풍선 대리점,"여행을 가볍게! 노랑풍선 포인트 적립, 다양한 할인과 혜택 제공",,0,5성급|5성급호텔|DAD|DANANG|NO옵션|가족여행|골든브릿지|국적기|남호이안빈원더스|노옵션|다낭|다낭 3박4일|다낭 3박5일|다낭 4박6일|다낭 가족여행|다낭 대한항공|다낭 비엣젯|다낭 아시아나|다낭 에어서울|다낭 에어프레미아|다낭 이스타|다낭 제주항공|다낭 진에어|다낭 티웨이|다낭 패키지|다낭대성당|다낭대한항공|다낭비엣젯|다낭아시아나|다낭에어서울|다낭에어프레미아|다낭이스타|다낭제주항공|다낭진에어|다낭티웨이|다낭패키지|다낭호이안야경투어|드래곤브릿지|마사지|바나힐|바나힐 테마파크|베트남|빈원더스|사랑의부두|선짜야시장|야시장|용다리|위즐커피|인천출발|자유시간|전신마사지|조식포함|청주출발|패키지|핑크성당|한시장|호이안|호이안야간투어|호이안야경투어,
AVP4571, 다낭/호이안 5/6일 신라모노그램비지니스NO옵션NO팁NO쇼핑스냅사진헤리티지전동카,3338300,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://dimgcdn.ybtour.co.kr/TN/d4/d409760a8a93d66aebca362548004554.tn.630x410.jpg,해외패키지,동남아,"다낭/호이안/후에,프리미엄 비즈니스 탑승",50007257,노랑풍선 대리점,"여행을 가볍게! 노랑풍선 포인트 적립, 다양한 할인과 혜택 제공",,0,국적기비지니스|스냅사진|헤리티지전동카,
AVP4572, 다낭/호이안 4/5/6일 노옵션5성월드체인윈덤솔레일오션뷰UP바나힐홈쇼핑인기,399000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://dimgcdn.ybtour.co.kr/TN/7a/7afd847439c2354fa9a31bd03e8c30c3.tn.630x410.jpg,해외패키지,동남아,다낭/호이안/후에,50007257,노랑풍선 대리점,"여행을 가볍게! 노랑풍선 포인트 적립, 다양한 할인과 혜택 제공",,0,노옵션|다낭패키지|다낭호이안패키지|최신상윈덤|홈쇼핑방영,
AVP4574, 다낭/호이안 4/5/6일 5성보코마벨ESG노쇼핑바구니배등만들기바나힐자유시간,799000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://dimgcdn.ybtour.co.kr/TN/98/98e8dd5ee23ae30f0912cd949e11728d.tn.630x410.jpg,해외패키지,동남아,"다낭/호이안/후에,테마파크/워터파크",50007257,노랑풍선 대리점,"여행을 가볍게! 노랑풍선 포인트 적립, 다양한 할인과 혜택 제공",,0,ESG|디닝|에코투어,
AVP4576, 부산출발 다낭/호이안 5일 쇼핑엔티 5성 페닌슐라 바나힐 호이안야간투어 야시장 ,329000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://dimgcdn.ybtour.co.kr/TN/11/1163c458c81f3ef02d2e563f34c90395.tn.630x410.jpg,해외패키지,부산/지방 출발,베트남/씨앰립,50007257,노랑풍선 대리점,"여행을 가볍게! 노랑풍선 포인트 적립, 다양한 할인과 혜택 제공",,0,다낭 여행|다낭 패키지|베트남 여행|베트남 패키지|부산 출발 다낭|부산 출발 해외패키지|부산출발 |부산출발 다낭여행,
AVP4580, 부산출발 다낭/호이안 5일 인터컨티넨탈 다낭 썬 페닌슐라리조트 비지니스 프라이빗비치 ,8010000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://dimgcdn.ybtour.co.kr/TN/2e/2e343992bb0488bc9b9546a86c8af8f6.tn.630x410.jpg,해외패키지,"부산/지방 출발,부산출발","베트남/씨앰립,부산출발,프리미엄상품",50007257,노랑풍선 대리점,"여행을 가볍게! 노랑풍선 포인트 적립, 다양한 할인과 혜택 제공",,0,김해출발다낭|부산출발다낭|비지니스|인터컨티넨탈다낭|프리미엄,
AVP4581, 다낭/호이안 4/5/6일 5성더펄호이안객실업그레이드노옵션씨푸드랍스타,549000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://dimgcdn.ybtour.co.kr/TN/9d/9d750adc12d49748203049cfef6fe5d0.tn.630x410.jpg,해외패키지,동남아,"다낭/호이안/후에,미식&핫플",50007257,노랑풍선 대리점,"여행을 가볍게! 노랑풍선 포인트 적립, 다양한 할인과 혜택 제공",,0,DAD|DANANG|NO옵션|가족여행|국적기|다낭|다낭 3박4일|다낭 3박5일|다낭 4박6일|다낭 4일|다낭 5일|다낭 6일|다낭 가족여행|다낭 대성당|다낭 대한항공|다낭 비엣젯|다낭 아시아나|다낭 야경|다낭 에어서울|다낭 에어프레미아|다낭 이스타|다낭 제주항공|다낭 진에어|다낭 티웨이|다낭 패키지|다낭 풀패키지|다낭 한시장|다낭 호이안|다낭대한항공|다낭비엣젯|다낭시내|다낭아시아나|다낭야경|다낭에어서울|다낭에어프레미아|다낭이스타|다낭제주항공|다낭진에어|다낭티웨이|다낭패키지|단체여행|대한민국 국적기|대한민국국적기|리조트|리조트 숙박|리조트2박|리조트숙박|마블마운틴|마사지2회|미케비치|바구니배|바나힐|바나힐 케이블카|베트남|선짜 야시장|스카이라운지|아이와 다낭|안방비치|야시장|영흥사|오행산|인원별객실업그레이드|청주 다낭|청주출발|청주출발 패키지|투본강투어|패키지|핑크성당|한강 용다리|한강크로즈|호이안 바구니배|호이안 소원배|호이안 야경|호이안 올드타운|호이안 패키지|호이안패키지,
AVP4583, 다낭/호이안 4/5/6일 5성푸라마리조트 노팁 쇼핑1회 쿠킹클래스 무제한열대과일,1039000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://dimgcdn.ybtour.co.kr/TN/56/56043f31647f20f147c9c319c43e4033.tn.630x410.jpg,해외패키지,동남아,"다낭/호이안/후에,미식&핫플",50007257,노랑풍선 대리점,"여행을 가볍게! 노랑풍선 포인트 적립, 다양한 할인과 혜택 제공",,0,다낭시내관광|바구니배|바나힐|소원등|전신마사지|쿠킹클래스|푸라마리조트,
AVP4584, 다낭/호이안 4/5/6일 노쇼핑 바나힐 골든브릿지 한시장 마사지60분,429000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://dimgcdn.ybtour.co.kr/TN/ae/aeefce01651ecb27b6c24671a6c6ba7c.tn.630x410.png,해외패키지,동남아,다낭/호이안/후에,50007257,노랑풍선 대리점,"여행을 가볍게! 노랑풍선 포인트 적립, 다양한 할인과 혜택 제공",,0,4성급호텔|가족여행|골든브릿지|노쇼핑|롯데마트|마블마운틴|미케비치 |바나힐|암푸동굴|영흥사|오행산|전신마사지 60분|플라워가든|한시장 방문|호이안 구시가지,
AVP4586, 부산출발 다낭/호이안 5일 노팁 노옵션 아오자이체험 3대야경+간식 보코마벨호텔,419000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://dimgcdn.ybtour.co.kr/TN/47/47bc976ba025c0340fd45b93a4ab7d6a.tn.630x410.jpg,해외패키지,부산/지방 출발,베트남/씨앰립,50007257,노랑풍선 대리점,"여행을 가볍게! 노랑풍선 포인트 적립, 다양한 할인과 혜택 제공",,0,다낭|다낭특가|보코마벨|부산출발 다낭|호이안,
AVP4588,[다낭X진에어특가] 3박4일 노옵션5성월드체인윈덤솔레일오션뷰UP바나힐,589000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABF000,https://dimgcdn.ybtour.co.kr/TN/7a/7afd847439c2354fa9a31bd03e8c30c3.tn.630x410.jpg,해외패키지,동남아,다낭/호이안/후에,50007257,노랑풍선 대리점,"여행을 가볍게! 노랑풍선 포인트 적립, 다양한 할인과 혜택 제공",,0,노옵션|다낭패키지|다낭호이안패키지|최신상윈덤|홈쇼핑방영,
AVP6015, 캄보디아/베트남 6일 연합하롱앙코르왓 특급호텔 多110$특전야간시티비경 6일,979000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABH000,https://happy4110.ybtour.co.kr/product/localList?menu=PKG&dspSid=AABH000,https://dimgcdn.ybtour.co.kr/TN/d2/d2a7b135b022037fafe6f5fa897ec5fb.tn.630x410.jpg,해외패키지,동남아,캄보디아/베트남 연계,50007257,노랑풍선 대리점,"여행을 가볍게! 노랑풍선 포인트 적립, 다양한 할인과 혜택 제공",,0,동남아2개국여행|베캄연계|베트남캄보디아|오전출발베캄|직항|하롱베이/앙코르왓,
